,song_name,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
0,Son Of A Son Of A Sailor,5Yi6mwvMHnnh241uGjcJYy,spotify:track:5Yi6mwvMHnnh241uGjcJYy,206093,False,54,1uY4UVKMPbOFj9cdtNc6a6,sailing
1,One Particular Harbour,44UqG68nsYIsJGQQXybDN8,spotify:track:44UqG68nsYIsJGQQXybDN8,344506,False,49,1uY4UVKMPbOFj9cdtNc6a6,sailing
2,"Changes In Latitudes, Changes In Attitudes",5nIqitaV7WyyuM3KVUju1G,spotify:track:5nIqitaV7WyyuM3KVUju1G,197333,False,56,1uY4UVKMPbOFj9cdtNc6a6,sailing
3,Fins,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
4,"No Shoes, No Shirt, No Problems",208bYsadJ56km31IENM2qS,spotify:track:208bYsadJ56km31IENM2qS,209666,False,61,1uY4UVKMPbOFj9cdtNc6a6,sailing
5,"Sail On, Sailor - Remastered 2000",3U4hSjTlK6WU0wORlAne9H,spotify:track:3U4hSjTlK6WU0wORlAne9H,202426,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
6,Island Song,4I3nwwubSmlAaA9PJa0lvH,spotify:track:4I3nwwubSmlAaA9PJa0lvH,223306,False,59,1uY4UVKMPbOFj9cdtNc6a6,sailing
7,Castaway,5PNcJn4oFNvlRfrZBHfqWh,spotify:track:5PNcJn4oFNvlRfrZBHfqWh,188053,False,61,1uY4UVKMPbOFj9cdtNc6a6,sailing
8,Boat Drinks,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,1uY4UVKMPbOFj9cdtNc6a6,sailing
9,Where the Boat Leaves From,3R8XBHHIhlzJo65YFgp0Z2,spotify:track:3R8XBHHIhlzJo65YFgp0Z2,222533,False,56,1uY4UVKMPbOFj9cdtNc6a6,sailing
10,Havana Daydreamin',7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
11,Mañana,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,1uY4UVKMPbOFj9cdtNc6a6,sailing
12,Coastal,22ejspKqayOvA7eCzUjFlk,spotify:track:22ejspKqayOvA7eCzUjFlk,159586,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
13,Something 'Bout a Boat,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,1uY4UVKMPbOFj9cdtNc6a6,sailing
14,Boats,6Hvkerq1P6q8DeOHjCh3hT,spotify:track:6Hvkerq1P6q8DeOHjCh3hT,275546,False,39,1uY4UVKMPbOFj9cdtNc6a6,sailing
15,Some Beach,7kWeSMXLxUHHOkFxsS0vhP,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,204826,False,62,1uY4UVKMPbOFj9cdtNc6a6,sailing
16,Stars On The Water,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,1uY4UVKMPbOFj9cdtNc6a6,sailing
17,A Pirate Looks At 40 - Live/1990,3kawBgeEJMPI0aw7XH5lFA,spotify:track:3kawBgeEJMPI0aw7XH5lFA,269212,False,27,1uY4UVKMPbOFj9cdtNc6a6,sailing
18,One Particular Harbour - Live/1990,1JZOZqjrMpIRDkszpy5djO,spotify:track:1JZOZqjrMpIRDkszpy5djO,385200,False,26,1uY4UVKMPbOFj9cdtNc6a6,sailing
0,I Have Found Me a Home,6FTKRyJAaU0CMZQQlxBjY2,spotify:track:6FTKRyJAaU0CMZQQlxBjY2,225271,False,41,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
1,Woman Goin' Crazy on Caroline Street,7J0vC86jXSmIXtiGcdiYir,spotify:track:7J0vC86jXSmIXtiGcdiYir,248648,False,40,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
2,The Captain and the Kid,3O02DTp0ScX04FezTt8FhK,spotify:track:3O02DTp0ScX04FezTt8FhK,211493,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
3,Delaney Talks to Statues,7dJ81CdYo5Qo597OcZ3s4u,spotify:track:7dJ81CdYo5Qo597OcZ3s4u,199639,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
4,Twelve Volt Man,3CotETOWjTMwvnJr5em4xg,spotify:track:3CotETOWjTMwvnJr5em4xg,220304,False,30,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
5,Peanut Butter Conspiracy,2c7BMlhFg2ZIW9AOycIv9P,spotify:track:2c7BMlhFg2ZIW9AOycIv9P,246980,False,30,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
6,Something So Feminine About a Mandolin,0tJaWHeqBvt5PAYqHCPBfE,spotify:track:0tJaWHeqBvt5PAYqHCPBfE,214872,False,30,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
7,Love in the Library,6jEzAGGhaDOEeDXoJ7e8XK,spotify:track:6jEzAGGhaDOEeDXoJ7e8XK,270154,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
8,Chanson Pour Les Petits Enfants,6iXwUuUK0WYekVvkRtoUiX,spotify:track:6iXwUuUK0WYekVvkRtoUiX,236980,False,30,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
9,The Night I Painted the Sky,6yImFUgtilGT7bJxH64lCE,spotify:track:6yImFUgtilGT7bJxH64lCE,319440,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
10,Cowboy in the Jungle,5BRIwCUqAB3qLH7lcz9oWO,spotify:track:5BRIwCUqAB3qLH7lcz9oWO,313407,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
11,Little Miss Magic,6ulalual4NlGO1i5gRZlZF,spotify:track:6ulalual4NlGO1i5gRZlZF,241648,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
12,Tin Cup Chalice,2RAIhfQyn6ViSfrJGzqKb8,spotify:track:2RAIhfQyn6ViSfrJGzqKb8,193012,False,30,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
13,Tonight I Just Need My Guitar,1ljEEUjcMpxoD1TK9o9lAs,spotify:track:1ljEEUjcMpxoD1TK9o9lAs,162436,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
14,Death of an Unpopular Poet,7MfFvmL8wG0gZleLlWLFCY,spotify:track:7MfFvmL8wG0gZleLlWLFCY,255878,False,28,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
15,Down at the Lah De Dah,64XIvcPOW9lmMh8vHFnYt0,spotify:track:64XIvcPOW9lmMh8vHFnYt0,199433,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
16,Who Gets to Live Like This,79gzZTuIZhFcPeErUFtsco,spotify:track:79gzZTuIZhFcPeErUFtsco,182628,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
17,The Devil I Know,52wPojlav5oH7au9XenjHA,spotify:track:52wPojlav5oH7au9XenjHA,178682,True,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
18,The Slow Lane,46RjasCR1TcTphfY32VB7f,spotify:track:46RjasCR1TcTphfY32VB7f,250570,False,41,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
19,Cussin' Island,684Tc2XE6KtY4FKmGmFcFh,spotify:track:684Tc2XE6KtY4FKmGmFcFh,294624,True,28,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
20,Oceans of Time,4yvuZhY0NWWSbtnTYOWAyS,spotify:track:4yvuZhY0NWWSbtnTYOWAyS,211757,False,23,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
21,"Hey, That's My Wave",0SMnjM3haIJFqXDzQASr8a,spotify:track:0SMnjM3haIJFqXDzQASr8a,266139,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
22,Mailbox Money,25rlxcwMYYeZANPH4lTqeS,spotify:track:25rlxcwMYYeZANPH4lTqeS,259315,False,27,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
23,Slack Tide,05HiBSFvUaYDAdN8DHPSUd,spotify:track:05HiBSFvUaYDAdN8DHPSUd,256492,False,29,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
24,Book on the Shelf,0237hkuyPgH7yQFs1xYD8C,spotify:track:0237hkuyPgH7yQFs1xYD8C,203266,False,20,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
25,Margaritaville,4EEjMyQub6tgFVshlM9j1M,spotify:track:4EEjMyQub6tgFVshlM9j1M,250933,False,68,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
26,Fins,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
27,"Changes In Latitudes, Changes In Attitudes",5nIqitaV7WyyuM3KVUju1G,spotify:track:5nIqitaV7WyyuM3KVUju1G,197333,False,56,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
28,Volcano,0s4jINkD2RoxH96zpy2i0D,spotify:track:0s4jINkD2RoxH96zpy2i0D,219893,False,51,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
29,A Pirate Looks At Forty,6ac6RlvEhiFraIxBYHhg1j,spotify:track:6ac6RlvEhiFraIxBYHhg1j,235360,False,55,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
30,Son Of A Son Of A Sailor,5Yi6mwvMHnnh241uGjcJYy,spotify:track:5Yi6mwvMHnnh241uGjcJYy,206093,False,54,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
31,Come Monday,0yje3JVMgJNZENayymCTHA,spotify:track:0yje3JVMgJNZENayymCTHA,191733,False,59,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
32,Boat Drinks,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
33,Cheeseburger In Paradise,6VeZ970uI0Yi6sjBgyFBrp,spotify:track:6VeZ970uI0Yi6sjBgyFBrp,176093,False,60,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
34,One Particular Harbour,44UqG68nsYIsJGQQXybDN8,spotify:track:44UqG68nsYIsJGQQXybDN8,344506,False,49,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
35,Pencil Thin Mustache,5CzMwK80wwvneifPUeknav,spotify:track:5CzMwK80wwvneifPUeknav,173560,False,35,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
36,He Went To Paris,0MSbGV0xfCgS1H6lKpjIKM,spotify:track:0MSbGV0xfCgS1H6lKpjIKM,211293,False,34,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
37,Coconut Telegraph,5ZKPylaZ9jgoDKoYZqJ3RG,spotify:track:5ZKPylaZ9jgoDKoYZqJ3RG,179666,False,35,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
38,Why Don't We Get Drunk,08S2nUUNdJTagxqPKsWhli,spotify:track:08S2nUUNdJTagxqPKsWhli,165493,False,46,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
39,Grapefruit - Juicy Fruit,3RaNRukiKfHbzSMXbWmuwB,spotify:track:3RaNRukiKfHbzSMXbWmuwB,178333,False,32,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
40,Mañana,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
41,Havana Daydreamin',7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
42,Tin Cup Chalice,6i5stu3H0nHekjp8bOhoeE,spotify:track:6i5stu3H0nHekjp8bOhoeE,221573,False,46,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
43,Jolly Mon Sing,0WfDZMpAmzyF8oLaCQcow2,spotify:track:0WfDZMpAmzyF8oLaCQcow2,197600,False,44,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
44,Brown Eyed Girl,2ICMnjBhI7xQhI6dV3Z78P,spotify:track:2ICMnjBhI7xQhI6dV3Z78P,235133,False,55,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
45,"The Weather Is Here, Wish You Were Beautiful",1TtyVbmspHF7rgHAvBoALk,spotify:track:1TtyVbmspHF7rgHAvBoALk,251293,False,45,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
46,Last Mango In Paris,0ZbHYCcrA3IkLKFQJOWFJW,spotify:track:0ZbHYCcrA3IkLKFQJOWFJW,196293,False,43,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
47,Fruitcakes,5wLIdufTlx9JMeZ6v5ZGw5,spotify:track:5wLIdufTlx9JMeZ6v5ZGw5,459866,False,42,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
48,Mexico,4se56w5bzrNixZmaXXMwmm,spotify:track:4se56w5bzrNixZmaXXMwmm,248733,False,44,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
49,Steamer,4qxYW3T03G3URrSjmtMqZF,spotify:track:4qxYW3T03G3URrSjmtMqZF,250360,False,22,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
50,Biloxi,73YbiBH3oXQe1BBn62403u,spotify:track:73YbiBH3oXQe1BBn62403u,340560,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
51,Uncle John's Band,4afAmFuF8Mr3XXIWztIvtx,spotify:track:4afAmFuF8Mr3XXIWztIvtx,270173,False,40,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
52,Miss You So Badly,6UPhWxNlKehfKCw6ilBfgG,spotify:track:6UPhWxNlKehfKCw6ilBfgG,223173,False,41,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
53,Stars On The Water,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
54,The Captain And The Kid,6wuQNaKq4Q0A38MbJbXJtS,spotify:track:6wuQNaKq4Q0A38MbJbXJtS,198400,False,32,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
55,Something 'Bout a Boat,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
56,Hey Good Lookin',2TSc7ee1OQPb4tuXsi2X7W,spotify:track:2TSc7ee1OQPb4tuXsi2X7W,183293,False,42,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
57,Bama Breeze,2Ql3AOQedeK5gFq8tM1tIY,spotify:track:2Ql3AOQedeK5gFq8tM1tIY,191440,False,46,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
58,"Breathe In, Breathe Out, Move On",0A8OXDcLHytptun6nLWqL1,spotify:track:0A8OXDcLHytptun6nLWqL1,197306,False,33,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
59,Trip Around the Sun,5CQLQZ41IVDntufcKEngeg,spotify:track:5CQLQZ41IVDntufcKEngeg,199453,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
60,Tides,2HfjlEo3dLjBeNczSGwDMX,spotify:track:2HfjlEo3dLjBeNczSGwDMX,252408,False,26,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
61,Knee Deep (feat. Jimmy Buffett),0b2IVjeD268pYd7VUhmtKI,spotify:track:0b2IVjeD268pYd7VUhmtKI,203173,False,73,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
62,It's Five O'Clock Somewhere,07KYRDFf8Q6sqj4PWCP9vh,spotify:track:07KYRDFf8Q6sqj4PWCP9vh,230266,False,64,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
0,Southern Cross - Live,0qmawdRliiO39sdaxUIl2e,spotify:track:0qmawdRliiO39sdaxUIl2e,307106,False,48,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
1,Brown Eyed Girl - Live,1vEXG0A94zu5qX4Iw2PX7I,spotify:track:1vEXG0A94zu5qX4Iw2PX7I,317826,False,18,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
2,"Changes in Latitudes, Changes in Attitudes - Live",0NHLyggTY0B2LgXaGuScU4,spotify:track:0NHLyggTY0B2LgXaGuScU4,196666,False,19,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
3,He Went to Paris - Live,5B6xrV7x6Ceuq9s3C5cQ9T,spotify:track:5B6xrV7x6Ceuq9s3C5cQ9T,267800,False,18,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
4,Boat Drinks - Live,1fJY4cx9lXwaFB5aPIkLS7,spotify:track:1fJY4cx9lXwaFB5aPIkLS7,257693,False,16,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
5,Son of a Son of a Sailor - Live,2vMuqkkubmmDAIemILEmRh,spotify:track:2vMuqkkubmmDAIemILEmRh,258866,False,16,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
6,Pencil Thin Mustache - Live,3fE6FfeXrcUjonuN1lzJm6,spotify:track:3fE6FfeXrcUjonuN1lzJm6,195960,False,21,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
7,Cheeseburger in Paradise - Live,4MKqIo4BgXpVd9sF8tHg7L,spotify:track:4MKqIo4BgXpVd9sF8tHg7L,186600,False,25,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
8,A Pirate Looks at Forty - Live,43KbMKOfeDmSY0J8pkzGPl,spotify:track:43KbMKOfeDmSY0J8pkzGPl,302080,False,18,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
9,One Particular Harbour - Live,0YLshByAexHCWQ0mSYCrfE,spotify:track:0YLshByAexHCWQ0mSYCrfE,367066,False,19,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
10,Coconut Telegraph - Live,23hxuKpsZbeFNISWCwWFlD,spotify:track:23hxuKpsZbeFNISWCwWFlD,237693,False,12,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
11,It's Five O'Clock Somewhere - Live,0kQc0iCdDdrfVcoOXufb3d,spotify:track:0kQc0iCdDdrfVcoOXufb3d,224453,False,14,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
12,Grapefruit Juicy Fruit,0We4DaLNmYpeEhBiaMfytR,spotify:track:0We4DaLNmYpeEhBiaMfytR,250800,False,13,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
13,Take Me Out to the Ball Game - Live,3fPXKB0ngv89CnqNd9klSt,spotify:track:3fPXKB0ngv89CnqNd9klSt,104160,False,12,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
14,Margaritaville - Live,38aUmb5OOEJj5QKyIRp4VX,spotify:track:38aUmb5OOEJj5QKyIRp4VX,291173,False,14,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
15,Come Monday - Live,6sWkF5F70HPHuSZKopBfoD,spotify:track:6sWkF5F70HPHuSZKopBfoD,285333,False,12,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
16,In the Shelter - Live,4jE9Mwrkx3bTZoVwbR8Wbb,spotify:track:4jE9Mwrkx3bTZoVwbR8Wbb,357626,False,12,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
17,Natives Are Restless - Live,5i0ePcIkk0RvYkMOCdc3DT,spotify:track:5i0ePcIkk0RvYkMOCdc3DT,276306,False,10,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
18,Why Don't We Get Drunk - Live,7pEcLT86YMtQhK8M19ycm7,spotify:track:7pEcLT86YMtQhK8M19ycm7,291800,False,12,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
19,Volcano - Live,4IHEeTsaNFKFmxLJpKv0HY,spotify:track:4IHEeTsaNFKFmxLJpKv0HY,233333,False,11,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
20,Tiki Bar Is Open - Live,0CkyW3r3qBtmI39MHDREYE,spotify:track:0CkyW3r3qBtmI39MHDREYE,341466,False,11,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
21,Fins - Live,5H5Snmw0F5BTgltyvmVLeD,spotify:track:5H5Snmw0F5BTgltyvmVLeD,427866,False,11,5QRStOSftF9l9A9Jgi4HlC,Jimmy Buffet: Live
